r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,Q
0.028,0.137,0.113,0.125,0.1,0.085,0.08,0.035,0.124,0.068,0.075,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.63429262779783
0.031,0.036,0.07,0.054,0.021,0.086,0.027,0.012,0.092,0.013,0.089,0.075,0.028,0.028,0.088,0.071,0.076,0.019,0.022,0.062,270.5824917645493
