r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,Q
0.015,0.122,0.007,0.153,0.106,0.25,0.014,0.112,0.081,0.14,0,0,0,0,0,0,0,0,0,0,514.7142719351831
0.007,0.181,0.082,0.018,0.13,0.205,0.068,0.041,0.217,0.051,0,0,0,0,0,0,0,0,0,0,633.5175715837088
0.018,0.163,0.043,0.102,0.142,0.208,0.064,0.137,0.106,0.017,0,0,0,0,0,0,0,0,0,0,483.22050927046223
0.009,0.191,0.016,0.087,0.083,0.237,0.03,0.157,0.134,0.056,0,0,0,0,0,0,0,0,0,0,605.9733230051294
0.015,0.052,0.096,0.211,0.112,0.188,0.032,0.189,0.058,0.021,0.026,0,0,0,0,0,0,0,0,0,482.1456973233526
